Name,Address,Phone,Accepting_New_Patients,Accepts_Out_of_Area_Registrations,Online_Registration_Available,Average_Rating
Chartfield Surgery,"The Surgery, 30 Chartfield Avenue, Putney, London, Greater London, SW15 6HG",02087886442,1,1,0,5.0
Wandsworth Medical Centre,"90-92 Garratt Lane, Wandsworth, London, Greater London, SW18 4DD",02030062741,1,1,0,1.8
Rhnd,"West Hill, London, Greater London, SW15 3SW",020 87804500,0,0,0,
Haider Practice,"162 St John's Hill, Wandsworth, London, Greater London, SW11 1SW",02038834751,1,1,0,
St Johns Hill Surgery,"Entrance B, 162 St John's Hill, Wandsworth, London, Greater London, SW11 1SW",020 3474 6899,1,1,0,1.0
clapham junction medical practice,"7 Farrant House, Winstanley Road, Battersea, London, Greater London, SW11 2EJ",02072284172,1,0,0,
Clapham Junction Medical Practice,"7 Farrant House, Winstanley Road, London, Greater London, SW11 2EJ",02072284172,1,1,0,
Brompton Medical Centre,"237-335 Old Brompton Road, London, Greater London, SW5 0EA",02073734102,1,1,0,
The Good Practice,"Kings Road, London, Greater London, SW10 0LR",02073511766,1,0,0,
The Roehampton Surgery,"105 Carslake Road, Putney, London, Greater London, SW15 3DD",02087856440,1,0,0,
Falcon Road Medical Centre,"47 Falcon Road, Battersea, London, Greater London, SW11 2PH",02072281619,1,1,0,4.0
Junction Health Centre,"Arch 5-7 Clapham J Stn, Grant Road, Clapham Junction, London, Greater London, SW11 2NU",0300 130 3333,1,0,0,3.0
Glebe Road Surgery,"Glebe Road Surgery, 1 Glebe Road, Barnes, London, Greater London, SW13 0DR",02087487398,1,0,0,
"Health and Wellbeing Centre, Earls Court","2B Hogarth Road, London, Greater London, SW5 0PT",02070527540,1,1,0,3.6
Hammersmith Surgery,"1 Hammersmith Bridge Road, Hammersmith, London, Greater London, W6 9DU",02087413944,1,0,0,
Bridge Lane Group Practice,"Bridge Lane Health Centre, 20 Bridge Lane, Battersea, London, SW11 3AD",02035380882,1,0,0,5.0
Meadbank Care Home GP Surgery,"12 Parkgate Road, London, Greater London, SW11 4NN",020 88741121,1,0,0,
Brocklebank Group Practice,"249 Garratt Lane, Wandsworth, London, Greater London, SW18 4DU",0203 818 8270,1,0,0,4.0
Rosary Garden Surgery,"45 Rosary Gardens, London, Greater London, SW7 4NQ",02073736557,1,0,0,
The Abingdon Health Centre,"88-92 Earls Court Road, Kensington, London, Greater London, W8 6EG",02077958470,1,1,0,
Essex House Surgery,"Station Road, Barnes, London, SW13 0LW",02088761033,1,1,0,
Brook Green Medical Centre,"Bute Gardens, Hammersmith, London, Greater London, W6 7EG",02074713333,1,1,0,
Tudor Lodge Health Centre,"8C Victoria Drive, Wimbledon, London, Greater London, SW19 6AE",02087800125,1,1,0,
Kensington Park Medical Centre,"75 Russell Road, London, Greater London, W14 8HW",020 7371 6060,1,0,0,
Bolingbroke Medical Centre,"Wakehurst Road, Battersea, London, Greater London, SW11 6BF",02078011460,1,1,0,
Stanhope Mews Surgery,"7 Stanhope Mews West, London, Greater London, SW7 5RB",02078350400,1,1,0,4.75
