Name,Address,Phone,Accepting New Patients,Accepts Out of Area Registrations,Online Registration Available,Latitude,Longitude
Battersea Rise Group Practice,"17 Battersea Rise, Battersea, London, Greater London, SW11 1HG",02072280195,True,False,False,51.46082465,-0.16324036345945964
Palace Road Surgery,"1 Palace Road, Streatham Hill, London, SW2 3DY",02086742083 (ext. 0208674278),True,True,False,51.4437862,-0.1210558
Clapham Family Practice,"The Manor Health Centre, 86 Clapham Manor Street, London, Greater London, SW4 6EB",,False,False,False,,
Tooting Bec Surgery,"313 Balham High Road, London, Greater London, SW17 7BA",02086820352,True,False,False,51.4364712,-0.158342
The Streatham Hill Group Practice,"6 Leigham Court Road, London, Greater London, SW16 2PG",02038290800,True,False,False,51.4372834,-0.1261
Queenstown Road Medical Practice,"14 Queenstown Road, Battersea, London, Greater London, SW8 3RX",02076229295,True,False,False,,
Lavender Hill Group Practice,"19 Pountney Road, Battersea, London, Greater London, SW11 5TU",02079244413,True,False,False,51.4658148,-0.1568719
Tooting Bec Medical Centre,"103 Macmillan Way, Tooting, London, Greater London, SW17 6AT",02086825245,False,False,False,51.4316018,-0.1513333
Macmillan Way Surgery,"Macmillan Way Medical Centre, 103 Macmillan Way, Tooting, London, Greater London, SW17 6AT",02038835800,True,False,False,51.4316018,-0.1513333
Bec Family Practice,"62 Upper Tooting Road, Tooting, London, Greater London, SW17 7PB",02086723133,True,False,False,51.4342909,-0.1624504
Dr Ghufoor,"139 Franciscan Raod, Tooting, London, Greater London, SW17 8DS",02086729980,True,False,False,,
at Medics Streatham Pcn EA Hub,"Streatham High Practice, 2-8 Gracefield Gardens, London, SW16 2ST",020 30494850,False,False,False,,
The Exchange Surgery,"2-8 Gracefield Gardens, Streatham, London, Greater London, SW16 2ST",02034746410,True,False,False,51.432516250000006,-0.1279029381295054
Prentis Medical Centre,"2 Prentis Road, Streatham, London, Greater London, SW16 1XU",02086965508,True,True,False,51.4305643,-0.1304828
HETHERINGTON AT THE PAVILION,"9 Brighton Terrace, London, Greater London, SW9 8DJ",02072749252,True,True,False,51.46173295,-0.11632222563063183
Larc Clinic (LA),"9 Brighton Terrace, Brixton, London, Greater London, SW9 8DJ",020 30496600,False,False,False,51.46173295,-0.11632222563063183
Junction Health Centre,"Arch 5-7 Clapham J Stn, Grant Road, Clapham Junction, London, Greater London, SW11 2NU",0300 130 3333,True,False,False,,
Stockwellbeing AH,"Springfield Medical Centre, 110 Union Road, London, SW8 2SH",020 77933100,False,False,False,,
Springfield Medical Centre,"110 Union Road, London, Greater London, SW8 2SH",02038312290,True,True,False,51.4710693,-0.1340585
Dr Freeman & Partners (Upper Tooting),"219 Upper Tooting Road, Tooting, London, Greater London, SW17 7TG",02038835600,False,False,False,51.430271399999995,-0.16532960578221895
Upper Tooting Road Medical Centre,"219-221 Upper Tooting Road, Tooting, London, Greater London, SW17 7TG",02038835600,True,False,False,51.429888,-0.1660493
St Johns Hill Surgery,"Entrance B, 162 St John's Hill, Wandsworth, London, Greater London, SW11 1SW",020 3474 6899,True,True,False,51.4598896,-0.1793443
Haider Practice,"162 St John's Hill, Wandsworth, London, Greater London, SW11 1SW",02038834751,True,True,False,51.4598896,-0.1793443
Beckett House Practice,"Becket House Surgery, Grantham Road, Stockwell, London, Greater London, SW9 9DL",02077387030,True,True,False,,
The Grantham Centre Practice,"Beckett House, Grantham Road, Stockwell, London, SW9 9DL",02077336191,True,True,False,,
clapham junction medical practice,"7 Farrant House, Winstanley Road, Battersea, London, Greater London, SW11 2EJ",02072284172,True,False,False,,
Clapham Junction Medical Practice,"7 Farrant House, Winstanley Road, London, Greater London, SW11 2EJ",02072284172,True,True,False,,
North Wood Group Practice @ Tulse Hill,"4 Hardel Rise, London, Greater London, SW2 3DX",02086713448,True,False,False,51.440899,-0.10837088488325378
